CS-6310,F,2016-2,0
CS-6310,F,2016-3,2
CS-6310,F,2017-1,4
CS-6310,F,2017-2,2
CS-6310,W,2014-3,50
CS-6310,W,2015-1,64
CS-6310,W,2015-3,84
CS-6310,W,2016-1,92
CS-6310,W,2016-2,87
CS-6310,W,2016-3,62
CS-6310,W,2017-1,31
CS-6310,W,2017-2,16
CS-6340,A,2016-1,84
CS-6340,A,2016-2,37
CS-6340,A,2016-3,59
CS-6340,A,2017-1,33
CS-6340,A,2017-2,39
CS-6340,B,2016-1,64
CS-6340,B,2016-2,27
CS-6340,B,2016-3,21
CS-6340,B,2017-1,55
CS-6340,B,2017-2,36
CS-6340,C,2016-1,21
CS-6340,C,2016-2,11
CS-6340,C,2016-3,15
CS-6340,C,2017-1,24
CS-6340,C,2017-2,3
CS-6340,D,2016-1,0
CS-6340,D,2016-2,6
CS-6340,D,2016-3,0
CS-6340,D,2017-1,12
CS-6340,D,2017-2,4
CS-6340,F,2016-1,0
CS-6340,F,2016-2,3
CS-6340,F,2016-3,1
CS-6340,F,2017-1,3
CS-6340,F,2017-2,1
CS-6340,W,2016-1,31
CS-6340,W,2016-2,35
CS-6340,W,2016-3,36
CS-6340,W,2017-1,81
CS-6340,W,2017-2,50
CS-6400,A,2016-1,95
CS-6400,A,2016-3,227
CS-6400,A,2017-1,129
CS-6400,A,2017-2,64
CS-6400,B,2016-1,114
CS-6400,B,2016-3,130
CS-6400,B,2017-1,191
CS-6400,B,2017-2,58
CS-6400,C,2016-1,22
CS-6400,C,2016-3,14
CS-6400,C,2017-1,35
CS-6400,C,2017-2,4
CS-6400,D,2016-1,6
CS-6400,D,2016-3,2
CS-6400,D,2017-1,8
CS-6400,D,2017-2,4
CS-6400,F,2016-1,4
CS-6400,F,2016-3,0
CS-6400,F,2017-1,0
CS-6400,F,2017-2,1
CS-6400,W,2016-1,23
CS-6400,W,2016-3,22
CS-6400,W,2017-1,70
CS-6400,W,2017-2,9
CS-6440,A,2014-3,70
CS-6440,A,2015-1,159
CS-6440,A,2015-3,164
CS-6440,A,2016-1,175
CS-6440,A,2016-3,169
CS-6440,B,2014-3,27
CS-6440,B,2015-1,23
CS-6440,B,2015-3,8
CS-6440,B,2016-1,2
CS-6440,B,2016-3,8
CS-6440,C,2014-3,2
CS-6440,C,2015-1,1
CS-6440,C,2015-3,0
CS-6440,C,2016-1,0
CS-6440,C,2016-3,1
CS-6440,D,2014-3,0
CS-6440,D,2015-1,0
CS-6440,D,2015-3,0
CS-6440,D,2016-1,0
CS-6440,D,2016-3,0
CS-6440,F,2014-3,2
CS-6440,F,2015-1,1
CS-6440,F,2015-3,0
CS-6440,F,2016-1,1
CS-6440,F,2016-3,1
CS-6440,W,2014-3,27
CS-6440,W,2015-1,10
CS-6440,W,2015-3,12
CS-6440,W,2016-1,8
CS-6440,W,2016-3,11
CS-6460,A,2015-3,87
CS-6460,A,2016-1,108
CS-6460,A,2016-3,116
CS-6460,A,2017-1,139
CS-6460,A,2017-2,169
CS-6460,B,2015-3,5
CS-6460,B,2016-1,6
CS-6460,B,2016-3,7
CS-6460,B,2017-1,4
CS-6460,B,2017-2,6
CS-6460,C,2015-3,0
CS-6460,C,2016-1,1
CS-6460,C,2016-3,1
CS-6460,C,2017-1,0
CS-6460,C,2017-2,1
CS-6460,D,2015-3,1
CS-6460,D,2016-1,1
CS-6460,D,2016-3,0
CS-6460,D,2017-1,1
CS-6460,D,2017-2,0
CS-6460,F,2015-3,1
CS-6460,F,2016-1,1
CS-6460,F,2016-3,0
CS-6460,F,2017-1,0
CS-6460,F,2017-2,0
CS-6460,W,2015-3,7
CS-6460,W,2016-1,9
CS-6460,W,2016-3,6
CS-6460,W,2017-1,6
CS-6460,W,2017-2,11
CS-6475,A,2015-1,115
CS-6475,A,2015-2,81
CS-6475,A,2015-3,72
CS-6475,A,2016-1,66
CS-6475,A,2016-2,117
CS-6475,A,2016-3,45
CS-6475,A,2017-1,104
CS-6475,B,2015-1,22
CS-6475,B,2015-2,34
CS-6475,B,2015-3,39
CS-6475,B,2016-1,56
CS-6475,B,2016-2,60
CS-6475,B,2016-3,46
CS-6475,B,2017-1,80
CS-6475,C,2015-1,10
CS-6475,C,2015-2,9
CS-6475,C,2015-3,4
CS-6475,C,2016-1,10
CS-6475,C,2016-2,14
CS-6475,C,2016-3,11
CS-6475,C,2017-1,9
CS-6475,D,2015-1,3
CS-6475,D,2015-2,1
CS-6475,D,2015-3,2
CS-6475,D,2016-1,3
CS-6475,D,2016-2,3
CS-6475,D,2016-3,5
CS-6475,D,2017-1,5
CS-6475,F,2015-1,4
CS-6475,F,2015-2,0
CS-6475,F,2015-3,1
CS-6475,F,2016-1,3
CS-6475,F,2016-2,2
CS-6475,F,2016-3,0
CS-6475,F,2017-1,3
CS-6475,W,2015-1,30
CS-6475,W,2015-2,13
CS-6475,W,2015-3,23
CS-6475,W,2016-1,18
CS-6475,W,2016-2,40
CS-6475,W,2016-3,15
CS-6475,W,2017-1,42
CS-6476,A,2015-3,70
CS-6476,A,2016-1,85
CS-6476,A,2016-3,106
CS-6476,A,2017-1,118
CS-6476,B,2015-3,52
CS-6476,B,2016-1,39
CS-6476,B,2016-3,37
CS-6476,B,2017-1,32
CS-6476,C,2015-3,19
CS-6476,C,2016-1,9
CS-6476,C,2016-3,6
CS-6476,C,2017-1,7
CS-6476,D,2015-3,5
CS-6476,D,2016-1,3
CS-6476,D,2016-3,4
CS-6476,D,2017-1,1
CS-6476,F,2015-3,1
CS-6476,F,2016-1,6
CS-6476,F,2016-3,18
CS-6476,F,2017-1,9
CS-6476,W,2015-3,54
CS-6476,W,2016-1,62
CS-6476,W,2016-3,62
CS-6476,W,2017-1,31
CS-6505,A,2014-3,49
CS-6505,A,2015-1,56
CS-6505,A,2015-3,21
CS-6505,A,2016-1,32
CS-6505,A,2016-3,104
CS-6505,A,2017-1,45
CS-6505,B,2014-3,44
CS-6505,B,2015-1,38
CS-6505,B,2015-3,55
CS-6505,B,2016-1,65
CS-6505,B,2016-3,112
CS-6505,B,2017-1,106
CS-6505,C,2014-3,23
CS-6505,C,2015-1,15
CS-6505,C,2015-3,35
CS-6505,C,2016-1,64
CS-6505,C,2016-3,10
CS-6505,C,2017-1,20
CS-6505,D,2014-3,10
CS-6505,D,2015-1,9
CS-6505,D,2015-3,6
CS-6505,D,2016-1,0
CS-6505,D,2016-3,3
CS-6505,D,2017-1,1
CS-6505,F,2014-3,9
CS-6505,F,2015-1,11
CS-6505,F,2015-3,13
CS-6505,F,2016-1,9
CS-6505,F,2016-3,0
CS-6505,F,2017-1,4
CS-6505,W,2014-3,84
CS-6505,W,2015-1,107
CS-6505,W,2015-3,143
CS-6505,W,2016-1,132
CS-6505,W,2016-3,81
CS-6505,W,2017-1,92
CS-6601,A,2016-1,100
CS-6601,A,2016-3,179
CS-6601,A,2017-1,129
CS-6601,A,2017-2,140
CS-6601,B,2016-1,49
CS-6601,B,2016-3,44
